Interface Name,Source Name,LDM Text Type,Internal ID,LDM Object Type,Element Name,LDM Field,Entity Name_x,LDM Text,Entity Name_y,Attribute Name,Type,Description
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$intm_entity_type,person_oe,intm_entity_type_id,Intermediary Entity Type ID,-,LDM:btfg$code_ldm_obj_fld.person_oe$intm_entity_type,Organizational Entity,Intermediary Entity Type ID,varchar2(2000),(ABS Field Type Avaloq Class)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$intm_entity_type,person_oe,intm_entity_type_id,Intermediary Entity Type ID,-,LDM:btfg$code_ldm_obj_fld.person_oe$intm_entity_type,Intermediary Structure,Intermediary Entity Type ID,varchar2(2000),(ABS Field Type Avaloq Class)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$intm_entity_type,person_oe,intm_entity_type_id,Intermediary Entity Type ID,-,LDM:btfg$code_ldm_obj_fld.person_oe$intm_entity_type,Issuer Entity,Intermediary Entity Type ID,varchar2(2000),(ABS Field Type Avaloq Class)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$intm_entity_type,person_oe,intm_entity_type_id,Intermediary Entity Type ID,-,LDM:btfg$code_ldm_obj_fld.person_oe$intm_entity_type,Super Dealer Group,Intermediary Entity Type ID,varchar2(2000),(ABS Field Type Avaloq Class)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$intm_entity_type,person_oe,intm_entity_type_id,Intermediary Entity Type ID,-,LDM:btfg$code_ldm_obj_fld.person_oe$intm_entity_type,Dealer Group,Intermediary Entity Type ID,varchar2(2000),(ABS Field Type Avaloq Class)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$intm_entity_type,person_oe,intm_entity_type_id,Intermediary Entity Type ID,-,LDM:btfg$code_ldm_obj_fld.person_oe$intm_entity_type,Practice,Intermediary Entity Type ID,varchar2(2000),(ABS Field Type Avaloq Class)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$intm_entity_type,person_oe,intm_entity_type_id,Intermediary Entity Type ID,-,LDM:btfg$code_ldm_obj_fld.person_oe$intm_entity_type,Office,Intermediary Entity Type ID,varchar2(2000),(ABS Field Type Avaloq Class)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$intm_entity_type,person_oe,intm_entity_type_id,Intermediary Entity Type ID,-,LDM:btfg$code_ldm_obj_fld.person_oe$intm_entity_type,Adviser Position,Intermediary Entity Type ID,varchar2(2000),(ABS Field Type Avaloq Class)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$intm_entity_type,person_oe,intm_entity_type_id,Intermediary Entity Type ID,-,LDM:btfg$code_ldm_obj_fld.person_oe$intm_entity_type,Internal Structure,Intermediary Entity Type ID,varchar2(2000),(ABS Field Type Avaloq Class)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$intm_entity_type,person_oe,intm_entity_type_id,Intermediary Entity Type ID,-,LDM:btfg$code_ldm_obj_fld.person_oe$intm_entity_type,Investment Manager Structure,Intermediary Entity Type ID,varchar2(2000),(ABS Field Type Avaloq Class)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$intm_entity_type,person_oe,intm_entity_type_id,Intermediary Entity Type ID,-,LDM:btfg$code_ldm_obj_fld.person_oe$intm_entity_type,Investment Manager Position,Intermediary Entity Type ID,varchar2(2000),(ABS Field Type Avaloq Class)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$is_bpay_alw,person_oe,is_bpay_alw,Is Bpay Allowed ID,-,LDM:btfg$code_ldm_obj_fld.person_oe$is_bpay_alw,Organizational Entity,Is Bpay Allowed ID,varchar2(2000),(ABS Field Type Avaloq Class)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$is_bpay_alw,person_oe,is_bpay_alw,Is Bpay Allowed ID,-,LDM:btfg$code_ldm_obj_fld.person_oe$is_bpay_alw,Intermediary Structure,Is Bpay Allowed ID,varchar2(2000),(ABS Field Type Avaloq Class)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$is_bpay_alw,person_oe,is_bpay_alw,Is Bpay Allowed ID,-,LDM:btfg$code_ldm_obj_fld.person_oe$is_bpay_alw,Issuer Entity,Is Bpay Allowed ID,varchar2(2000),(ABS Field Type Avaloq Class)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$is_bpay_alw,person_oe,is_bpay_alw,Is Bpay Allowed ID,-,LDM:btfg$code_ldm_obj_fld.person_oe$is_bpay_alw,Super Dealer Group,Is Bpay Allowed ID,varchar2(2000),(ABS Field Type Avaloq Class)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$is_bpay_alw,person_oe,is_bpay_alw,Is Bpay Allowed ID,-,LDM:btfg$code_ldm_obj_fld.person_oe$is_bpay_alw,Dealer Group,Is Bpay Allowed ID,varchar2(2000),(ABS Field Type Avaloq Class)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$is_bpay_alw,person_oe,is_bpay_alw,Is Bpay Allowed ID,-,LDM:btfg$code_ldm_obj_fld.person_oe$is_bpay_alw,Practice,Is Bpay Allowed ID,varchar2(2000),(ABS Field Type Avaloq Class)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$is_bpay_alw,person_oe,is_bpay_alw,Is Bpay Allowed ID,-,LDM:btfg$code_ldm_obj_fld.person_oe$is_bpay_alw,Office,Is Bpay Allowed ID,varchar2(2000),(ABS Field Type Avaloq Class)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$is_bpay_alw,person_oe,is_bpay_alw,Is Bpay Allowed ID,-,LDM:btfg$code_ldm_obj_fld.person_oe$is_bpay_alw,Adviser Position,Is Bpay Allowed ID,varchar2(2000),(ABS Field Type Avaloq Class)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$is_bpay_alw,person_oe,is_bpay_alw,Is Bpay Allowed ID,-,LDM:btfg$code_ldm_obj_fld.person_oe$is_bpay_alw,Internal Structure,Is Bpay Allowed ID,varchar2(2000),(ABS Field Type Avaloq Class)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$is_bpay_alw,person_oe,is_bpay_alw,Is Bpay Allowed ID,-,LDM:btfg$code_ldm_obj_fld.person_oe$is_bpay_alw,Investment Manager Structure,Is Bpay Allowed ID,varchar2(2000),(ABS Field Type Avaloq Class)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$is_bpay_alw,person_oe,is_bpay_alw,Is Bpay Allowed ID,-,LDM:btfg$code_ldm_obj_fld.person_oe$is_bpay_alw,Investment Manager Position,Is Bpay Allowed ID,varchar2(2000),(ABS Field Type Avaloq Class)
